No ,Cell,Dividing,MeanTxRed,Number of division,Time
1,1,0,0.266,7,6
,2,0,-1.914,7,6
,3,0,-0.366,7,6
2,1,0,2.555,8,6
,2,0,2.267,6,6
5,1,0,0.982,5,6
,2,0,-0.913,5,6
,3,0,0.691,5,6
,4,1,4.101,5,6
6,1,0,0.134,5,6
,2,0,2.372,5,6
,3,0,-0.421,6,6
,4,0,1.95,5,6
7,1,0,0.745,6,6
,2,0,0.175,8,6
,3,0,2.984,6,6
8,1,0,0.234,6,6
,2,0,1.052,5,6
9,1,0,-0.277,6,6
,2,0,6.6,4,6
,3,1,4.033,5,6
,4,0,1.325,7,6
10,1,0,1.45,4,6
,2,0,1.406,8,6
,3,0,1.129,5,6
11,1,0,-1.417,6,6
,2,0,1.566,6,6
12,1,0,-0.823,5,6
,2,0,1.651,6,6
,3,0,0.938,6,6
13,1,0,-0.874,5,6
,2,0,1.272,7,6
,3,0,0.179,5,6
14,1,0,1.049,6,6
,2,0,1.221,8,6
,3,0,8.214,3,6
,4,0,1.334,5,6
15,1,0,-1.268,7,6
,2,0,7.041,6,6
,3,0,0.856,7,6
,4,0,2.715,6,6
,5,0,1.855,5,6
16,1,0,6.632,6,6
,2,0,2.769,6,6
17,1,0,1.347,7,6
18,1,0,2.803,5,6
,2,0,0.392,6,6
,3,0,0.778,5,6
,4,0,-0.235,5,6
19,1,0,0.14,6,6
,2,0,3.318,7,6
,3,0,1.509,6,6
20,1,0,-0.106,5,6
21,1,0,2.868,6,6
,2,0,0.99,6,6
,3,0,1.81,6,6
,4,0,1.66,6,6
23,1,0,-1.242,7,6
,2,0,3.107,8,6
,3,0,0.386,6,6
,4,0,1.63,6,6
24,1,0,1.775,6,6
,2,0,-0.894,6,6
,3,0,1.582,5,6
26,1,1,-0.384,5,6
,2,0,0.054,7,6
,3,0,0.751,5,6
27,1,0,3.161,8,6
,2,0,0.413,7,6
,3,0,0.613,6,6
28,1,1,0.694,6,6
,2,1,7.971,2,6
29,1,0,1.311,7,6
,2,0,1.714,7,6
,3,0,-2.15,5,6
,4,0,1.779,8,6
30,1,0,2.081,7,6
,2,0,-0.804,6,6
,3,0,1.361,6,6
,4,0,-1.487,5,6
31,1,1,4.374,5,6
,2,1,-0.331,8,6
,3,0,0.936,7,6
,4,0,0.995,6,6
,5,0,2.174,5,6
,6,0,1.651,5,6
,7,0,0.292,3,6
32,1,0,0.926,7,6
,2,0,1.224,5,6
33,1,0,0.168,6,6
,2,1,0.421,7,6
,3,0,-0.194,5,6
,4,0,1.158,7,6
,5,0,4.94,4,6
34,1,0,3.575,5,6
,2,0,-0.793,7,6
35,1,0,3.988,5,6
,2,0,-0.823,8,6
,3,0,2.9,7,6
,4,0,1.879,6,6
36,1,0,3.956,7,6
4,1,1,2.999,6,6
5,1,0,0.832,4,6
,2,0,2.891,4,6
6,1,1,0.806,6,6
12,1,1,3.819,3,6
,2,1,5.613,5,6
13,1,1,0.775,3,6
,2,1,0.709,5,6
,3,0,10.948,1,6
14,1,1,5.28,5,6
15,1,1,3.692,5,6
16,2,1,1.175,5,6
20,1,1,5.232,6,6
0,1,0,2.811,6,6
1,1,0,4.236,5,6
,2,0,3.996,5,6
2,1,0,0.93,4,6
,2,0,2.344,6,6
3,1,0,1.709,5,6
,2,0,2.527,5,6
,3,0,3.517,4,6
4,1,0,14.357,5,6
,2,0,-1.391,6,6
5,1,0,2.637,6,6
,2,0,1.689,5,6
,3,0,9.548,6,6
,4,0,2.269,4,6
,5,0,1.074,4,6
,6,0,3.197,4,6
6,1,0,0.609,4,6
,2,0,9.723,6,6
7,1,0,5.273,5,6
8,1,0,0.613,6,6
,2,0,-0.67,6,6
10,1,0,1.349,5,6
,2,1,4.351,5,6
11,1,0,3.017,5,6
12,1,0,2.638,4,6
,2,0,0.871,5,6
,3,1,11.33,4,6
13,1,0,1.31,6,6
,2,0,1.954,4,6
,3,0,1.413,4,6
14,1,0,30.297,2,6
,2,0,0.388,4,6
,3,0,5.23,4,6
15,1,0,2.125,5,6
16,1,0,4.134,4,6
,2,0,2.565,5,6
,3,0,2.384,5,6
17,1,0,1.335,4,6
,2,0,2.083,6,6
18,1,0,4.779,4,6
,2,0,2.061,4,6
,3,0,-2.855,6,6
19,1,0,8.223,3,6
,2,0,1.145,5,6
21,1,1,8.329,5,6
,2,0,1.045,5,6
,3,1,2.336,4,6
22,1,1,6.048,4,6
23,1,0,0.85,4,6
,2,1,2.004,5,6
,3,1,4.806,5,6
25,1,0,18.615,3,6
26,1,1,-2.689,7,6
27,1,1,0.98,5,6
,2,1,1.936,6,6
,3,1,3.031,6,6
,4,1,3.824,3,6
28,1,1,8.59,4,6
,2,0,5.954,3,6
,3,0,1.038,6,6
29,1,0,0.014,6,6
,2,0,-0.012,5,6
30,1,1,6.135,4,6
,2,0,0.013,6,6
,3,1,2.3,5,6
,4,0,1.21,5,6
,5,1,2.514,5,6